std_A, std_K, mean_A, mean_k, p50, p90, p99, percentile for 0.05 coe, percentile for 0.08 coe, percentile for 0.10 coe, percentile for 0.15 coe, standard deviation
0.05, 0.05, 6, 2.25, 0.20209686292, 0.210490839512, 0.21426064213, 0.01, 0.01, 0.01, 0.01, 0.00541742484122
0.05, 0.05, 6, 2.5, 0.21617654233, 0.22471374747, 0.228543450917, 0.01, 0.01, 0.01, 0.01, 0.00574835680318
0.05, 0.05, 6, 2.75, 0.22829020549, 0.23749000379, 0.240752899529, 0.01, 0.01, 0.01, 0.01, 0.00600368501104
0.05, 0.05, 6, 3.0, 0.23857236142, 0.247752693668, 0.251137247081, 0.01, 0.01, 0.01, 0.01, 0.00620574991929
0.05, 0.05, 7, 1.5, 0.11602910176, 0.118398420398, 0.119914480064, 0.01, 0.01, 0.01, None, 0.00160830342557
0.05, 0.05, 7, 1.75, 0.12160164926, 0.124563416994, 0.126208361882, 0.01, 0.01, 0.01, None, 0.00197914074552
0.05, 0.05, 7, 2.0, 0.127612561, 0.131106993128, 0.13264752063, 0.01, 0.01, 0.01, None, 0.00224242267475
0.05, 0.05, 7, 2.25, 0.1334758858, 0.137196902464, 0.138860566948, 0.01, 0.01, 0.01, None, 0.00247704115922
0.05, 0.05, 7, 2.5, 0.13903342953, 0.143069480578, 0.144655240585, 0.01, 0.01, 0.01, None, 0.00268863206084
0.05, 0.05, 7, 2.75, 0.14413645115, 0.148477156404, 0.150040987976, 0.01, 0.01, 0.01, 98.81, 0.0028709686835
0.05, 0.05, 7, 3.0, 0.1487467101, 0.153178882368, 0.154822653754, 0.01, 0.01, 0.01, 62.26, 0.00302100806819
0.05, 0.05, 8, 1.5, 0.095106136488, 0.0960490149846, 0.0964888201828, 0.01, 0.01, None, None, 0.000780717594444
0.05, 0.05, 8, 1.75, 0.095740471035, 0.0970718249398, 0.0976048597686, 0.01, 0.01, None, None, 0.000953391357045
0.05, 0.05, 8, 2.0, 0.097132488831, 0.0987647752088, 0.0993707109717, 0.01, 0.01, None, None, 0.00110575247527
0.05, 0.05, 8, 2.25, 0.09879590895, 0.100554431796, 0.101227556503, 0.01, 0.01, 82.23, None, 0.00123299224531
0.05, 0.05, 8, 2.5, 0.10045587637, 0.10230599768, 0.10304536926, 0.01, 0.01, 36.5, None, 0.00134988388314
0.05, 0.05, 8, 2.75, 0.10200850326, 0.10398710277, 0.10478030015, 0.01, 0.01, 7.57, None, 0.00145748955936
0.05, 0.05, 8, 3.0, 0.10347350063, 0.105578699814, 0.106403193867, 0.01, 0.01, 0.51, None, 0.0015543639594
0.05, 0.05, 9, 1.5, 0.082231005326, 0.0833069189346, 0.0846004297628, 0.01, 0.01, None, None, 0.000767259123722
0.05, 0.05, 9, 1.75, 0.080416619824, 0.0811727676542, 0.0816542340671, 0.01, 24.38, None, None, 0.000619955930492
0.05, 0.05, 9, 2.0, 0.079729047973, 0.0804351264334, 0.0809063989872, 0.01, 71.57, None, None, 0.000649529024717
0.05, 0.05, 9, 2.25, 0.079384646176, 0.0801599596206, 0.0806736858234, 0.01, 83.01, None, None, 0.000704796758812
0.05, 0.05, 9, 2.5, 0.07917457712, 0.0800457988734, 0.0805742124544, 0.01, 87.96, None, None, 0.000758794762117
0.05, 0.05, 9, 2.75, 0.079035546371, 0.0799878075316, 0.0805359511642, 0.01, 90.52, None, None, 0.000809541874371
0.05, 0.05, 9, 3.0, 0.078947952465, 0.0799715859488, 0.0805405445358, 0.01, 91.45, None, None, 0.000856954400467
0.05, 0.1, 5, 1.5, 0.23124786481, 0.25194687592, 0.269411439499, 0.01, 0.01, 0.01, 0.01, 0.0164449318656
0.05, 0.1, 5, 1.75, 0.27370448172, 0.295823996904, 0.315081882593, 0.01, 0.01, 0.01, 0.01, 0.0180443155332
0.05, 0.1, 5, 2.0, 0.31600521165, 0.338046351436, 0.357937379973, 0.01, 0.01, 0.01, 0.01, 0.0183418241201
0.05, 0.1, 5, 2.25, 0.35522405243, 0.375281758484, 0.395114982614, 0.01, 0.01, 0.01, 0.01, 0.0177429863772
0.05, 0.1, 5, 2.5, 0.38749002723, 0.409437177428, 0.425755381818, 0.01, 0.01, 0.01, 0.01, 0.0168865063684
0.05, 0.1, 5, 2.75, 0.41410639331, 0.43881152289, 0.450374640497, 0.01, 0.01, 0.01, 0.01, 0.0162517507042
0.05, 0.1, 5, 3.0, 0.43579133895, 0.459388247068, 0.469960070702, 0.01, 0.01, 0.01, 0.01, 0.0159642068428
0.05, 0.1, 6, 1.5, 0.15397068871, 0.161907176886, 0.168884061334, 0.01, 0.01, 0.01, 22.77, 0.00627812170306
0.05, 0.1, 6, 1.75, 0.16973385982, 0.178631189708, 0.186353813341, 0.01, 0.01, 0.01, 0.01, 0.00704258742279
0.05, 0.1, 6, 2.0, 0.18628891998, 0.195182658772, 0.203356676844, 0.01, 0.01, 0.01, 0.01, 0.00734317410543
0.05, 0.1, 6, 2.25, 0.20212034643, 0.210615040862, 0.218975968976, 0.01, 0.01, 0.01, 0.01, 0.00738520094508
0.05, 0.1, 6, 2.5, 0.21598109827, 0.225131051794, 0.232578842788, 0.01, 0.01, 0.01, 0.01, 0.00725672802525
0.05, 0.1, 6, 2.75, 0.22790807148, 0.23834128919, 0.243914386206, 0.01, 0.01, 0.01, 0.01, 0.00706288376602
0.05, 0.1, 6, 3.0, 0.23816778923, 0.248590487862, 0.253067909572, 0.01, 0.01, 0.01, 0.01, 0.0068944638713
0.05, 0.1, 7, 1.5, 0.11606756068, 0.118943552678, 0.121833923584, 0.01, 0.01, 0.01, None, 0.00221332691446
0.05, 0.1, 7, 1.75, 0.12165884825, 0.12497252926, 0.12824255103, 0.01, 0.01, 0.01, None, 0.0027693706346
0.05, 0.1, 7, 2.0, 0.12765032047, 0.131110180624, 0.134635586279, 0.01, 0.01, 0.01, None, 0.00300084893492
0.05, 0.1, 7, 2.25, 0.13339077904, 0.137333206848, 0.140735277942, 0.01, 0.01, 0.01, None, 0.00313426843906
0.05, 0.1, 7, 2.5, 0.1388095217, 0.14338611656, 0.146365814559, 0.01, 0.01, 0.01, None, 0.00322670229076
0.05, 0.1, 7, 2.75, 0.14398752417, 0.148962973348, 0.151395589893, 0.01, 0.01, 0.01, 96.78, 0.00328780758335
0.05, 0.1, 7, 3.0, 0.14852945807, 0.153563430428, 0.155748711309, 0.01, 0.01, 0.01, 64.96, 0.00332578485637
0.05, 0.1, 8, 1.5, 0.095293286656, 0.0963522445088, 0.0974922903964, 0.01, 0.01, None, None, 0.000922598590754
0.05, 0.1, 8, 1.75, 0.095605231015, 0.0972572488632, 0.0980600412246, 0.01, 0.01, None, None, 0.00103383348974
0.05, 0.1, 8, 2.0, 0.097058506143, 0.0989716785754, 0.0998508712081, 0.01, 0.01, 99.83, None, 0.00122197621296
0.05, 0.1, 8, 2.25, 0.098661820285, 0.100719991654, 0.101640845267, 0.01, 0.01, 81.82, None, 0.00134452267842
0.05, 0.1, 8, 2.5, 0.10024704778, 0.102383677186, 0.103367032973, 0.01, 0.01, 43.21, None, 0.00144641563351
0.05, 0.1, 8, 2.75, 0.10177560435, 0.104083871416, 0.104998739677, 0.01, 0.01, 7.6, None, 0.0015380748619
0.05, 0.1, 8, 3.0, 0.10322339991, 0.10568418941, 0.106560376749, 0.01, 0.01, 0.75, None, 0.0016194923285
0.05, 0.1, 9, 1.5, 0.082274082455, 0.083795834677, 0.0878708259516, 0.01, 0.01, None, None, 0.00145742454985
0.05, 0.1, 9, 1.75, 0.080463846293, 0.081453089096, 0.082979000974, 0.01, 26.55, None, None, 0.000820728921339
0.05, 0.1, 9, 2.0, 0.079726566477, 0.0805320416184, 0.0810188135489, 0.01, 71.2, None, None, 0.000690025116204
0.05, 0.1, 9, 2.25, 0.079396711949, 0.0801855175744, 0.0806849451178, 0.01, 78.93, None, None, 0.000714448456316
0.05, 0.1, 9, 2.5, 0.079194976065, 0.080028630168, 0.080579058798, 0.01, 88.51, None, None, 0.000762413063536
0.05, 0.1, 9, 2.75, 0.079049885417, 0.0799812714128, 0.0805369641808, 0.01, 90.69, None, None, 0.000811359285489
0.05, 0.1, 9, 3.0, 0.078955568568, 0.079973216827, 0.0805386751691, 0.01, 91.44, None, None, 0.000857920004634
0.5, 0.025, 5, 1.5, 0.24571008652, 0.347197724146, 0.417246235062, 0.01, 0.01, 0.01, 0.01, 0.0638032726682
0.5, 0.025, 5, 1.75, 0.2930490222, 0.432868194088, 0.535068027686, 0.01, 0.01, 0.01, 0.01, 0.0879792635747
0.5, 0.025, 5, 2.0, 0.34044858831, 0.5161225421, 0.649633334726, 0.01, 0.01, 0.01, 0.01, 0.111191659122
0.5, 0.025, 5, 2.25, 0.38356142394, 0.589145124768, 0.751314562886, 0.01, 0.01, 0.01, 0.01, 0.131333606119
